a1,a2,a3,a4
2.35039,1.45487,-1.66708,-2.05561
2.45297,1.4001,-2.8251,0.984487
-0.241284,-0.26739,0.79354,0.605862
1.13027,-0.890918,0.696969,0.613068
-1.29614,0.980479,-1.13056,-0.346971
-1.65029,1.01153,-2.03557,-2.41954
0.429159,-1.1637,-1.80752,-0.839457
-0.191893,-2.94548,0.427951,-0.492684
1.41766,-3.31765,0.290821,0.621139
1.69962,-2.44615,-2.08054,2.45964
0.957806,-1.81733,-1.50953,-0.930546
1.92975,-2.26162,-0.957562,-3.01969
-0.939544,-1.27203,-1.42814,2.98153
-4.1672,2.98122,1.64681,1.9023
2.02948,1.31522,-0.0124114,-1.3135
-0.945107,-2.18895,2.23437,-2.54824
-4.24603,-5.53301,1.4585,-2.17625
3.32071,-3.4196,1.6177,1.80674
0.994713,1.68359,1.29446,1.37378
0.526855,3.48883,2.7673,-3.3408
2.63982,-0.667755,1.91817,0.898441
3.58503,-3.09259,-1.77151,3.92874
1.78131,-1.31067,-2.79571,-1.10451
-4.07004,5.29393,-0.686199,-2.64034
-3.82851,7.58304,-0.450843,-2.88435
0.575974,1.12582,3.12006,4.48594
-4.07099,-3.33188,7.52092,2.84936
-0.84524,-0.199737,-1.67067,1.35331
3.66414,4.28834,-4.02285,-1.02135
-0.866951,1.41338,5.42948,-1.35183
1.96014,-4.42763,5.26172,0.623588
2.75841,-7.27574,2.70605,4.44428
0.654402,-0.622066,0.459128,1.46429
-1.6359,3.8854,-6.35034,-1.54165
-2.97001,-2.21512,-2.37246,3.0288
-3.29213,-8.7823,0.832442,5.41167
-3.71929,-4.78787,-4.4966,1.71795
-6.75195,0.0429496,-3.88338,-4.06174
-1.77512,-2.41483,-2.44047,-0.187422
-0.101254,-4.39659,-1.37751,9.93341
-5.52694,-1.17984,1.09732,5.85083
4.91927,1.14548,-3.355,-1.33757
0.189664,-1.45181,-3.12668,-1.47218
-5.56087,-5.14051,4.61001,-4.02988
2.52963,-1.3866,1.75331,2.1672
0.388721,7.10364,-0.200174,3.87253
-0.832487,4.41171,5.13494,-2.83665
5.43665,-0.0299921,2.30749,0.304487
2.28214,0.0622017,-6.87031,1.50162
1.15252,2.87059,-5.58992,-0.194197
-0.688656,4.33538,-0.345306,-1.4288
-0.845785,1.88872,2.64493,1.39784
-0.774955,-1.28247,3.09868,4.34729
-2.93744,1.47805,0.623159,1.02167
0.618172,3.4952,-3.12889,0.925247
0.516133,-2.21539,3.33031,-1.57033
2.19896,-8.64441,8.21582,-2.86317
3.0443,-8.62435,1.31171,1.56662
0.459007,-2.21756,-0.832575,0.490268
2.48798,1.81375,-6.45091,0.459713
0.257779,-1.40029,-5.70994,0.851742
-4.42474,-7.64872,-0.504511,3.75449
-4.28946,-2.2943,-3.68251,5.19692
-5.93198,6.27891,-5.68897,1.01302
-5.38352,5.70473,0.532106,-0.220717
-2.34136,-0.974978,3.80309,-1.68722
2.15771,-4.21328,2.67473,1.32001
0.042032,-0.418833,1.01027,2.39723
4.06808,4.78659,-2.05723,-2.41421
4.84314,3.63512,0.0281446,-2.0291
-1.64364,0.13216,7.18817,-4.42552
3.52492,1.79029,4.70465,-0.773306
3.03345,7.56948,2.80565,1.56936
2.15119,7.28409,3.88435,-3.79337
6.94606,1.03308,-0.00593133,-0.70643
2.13532,-2.58783,-0.480507,-0.304601
1.96381,-0.583019,-2.92995,-3.44746
1.08766,4.3282,-3.95995,-0.647338
-3.50476,5.49377,1.32743,-1.35155
-0.296515,0.673256,0.217146,-0.106857
-1.05176,-0.155539,1.62639,-0.226627
-1.00712,2.09968,1.72751,-0.200108
3.80362,2.21669,-1.42373,1.10627
2.18471,-2.11357,0.099468,-0.588101
2.80495,-7.02086,1.36468,2.00606
2.33709,-6.50986,1.59162,4.15285
0.256692,-2.05093,-0.0322821,2.08303
-0.131788,0.608449,-2.1847,-0.0726988
-3.50083,-1.12954,-1.41462,0.893681
-3.60314,-1.97759,-0.443259,2.82356
-1.94406,0.318174,-2.17974,1.28701
-2.53472,3.27651,-4.13681,1.92737
-3.40042,2.60227,-4.28677,3.91893
-0.478883,1.00624,0.123886,1.99352
0.265104,-1.68731,-0.306267,0.723033
-0.179009,-0.869498,-0.79795,-0.102101
-0.257166,0.869439,0.373314,-2.15377
1.73218,1.87842,2.59016,-1.57091
0.891719,1.91191,2.47552,0.899014
0.34801,4.04633,2.72564,-0.0133186
3.13114,4.79608,2.08661,-3.41748
2.85949,3.93163,0.475678,-0.0584309
0.0930488,3.91726,-1.30564,1.3608
2.06014,3.65003,-2.73736,1.56647
-0.142237,1.62339,-0.828991,4.93907
-4.08199,-1.17103,1.2677,3.10259
-2.82415,-1.22404,0.673786,-0.0574223
-5.6682,1.58028,0.941976,-0.834418
-4.34713,3.07897,4.00106,-1.36366
-0.0496973,-1.02202,6.41256,0.831129
0.876249,-5.14119,7.15464,1.30128
3.38936,-6.32235,1.03179,1.384
3.56576,-2.89356,-2.42999,3.24167
0.014348,-1.07775,-2.77227,2.67756
-0.265444,-1.78262,-2.49249,1.2674
-4.66098,-3.07917,-0.948601,0.715537
-6.79768,-0.864482,1.04048,0.945566
-5.10699,2.13168,-0.561077,0.70271
-3.90152,3.15557,0.161271,-0.0525226
