a1,a2,a3,a4
2.14539,0.0779864,2.94622,-0.285113
6.35557,4.54152,4.68974,-1.81114
0.842493,0.747476,6.71455,-2.65847
0.672067,2.723,4.69663,-1.05879
5.07506,2.41239,1.17829,0.412324
3.3149,-3.64,-2.67529,-0.809595
-2.53754,1.7288,-4.90345,1.94153
-7.06618,3.10221,-5.54123,5.99845
-2.52424,-0.0714213,-1.92121,0.916197
1.02608,2.67351,-5.22531,3.13246
-7.07378,8.23239,-1.867,9.99023
-14.2368,-0.658614,6.79401,3.63734
6.54784,0.689855,2.85393,-0.11605
7.42155,-0.457415,2.72494,-2.95711
-10.5755,-9.14003,7.05351,-2.62547
1.24834,2.56586,-1.21928,3.5598
4.54818,0.822316,0.211617,1.53898
-1.83412,-4.19696,2.14068,-1.12019
-1.41281,6.94954,-1.68517,3.03632
-3.7274,0.843602,1.25527,0.227552
-4.65186,1.57709,0.94983,-1.11616
3.85128,3.26016,-1.46361,0.0920714
-4.31684,-2.60675,0.777245,-0.113456
-2.97134,-3.5798,-0.702631,4.67333
0.171643,2.65657,-3.303,6.19245
-3.38397,-1.27685,0.37896,3.83624
-4.76787,-2.94122,4.4392,0.153758
2.15719,6.79796,5.41608,-0.218093
2.4093,1.16655,1.91843,0.473435
-4.85512,5.59768,1.0177,0.97529
-5.12853,3.97467,0.153122,2.06966
0.0636336,-1.97617,-2.15574,2.00826
-0.280611,0.854314,-4.2694,3.1669
-7.44679,2.04944,-0.686215,3.8923
-3.40568,-4.72707,3.49281,1.53955
5.86668,-3.87441,0.121391,0.529357
0.866917,-0.302582,1.45586,0.892416
-7.60731,-4.07683,1.93761,2.51977
-2.30361,-1.39264,-1.68696,4.53411
0.491735,-2.24367,-1.99847,2.49469
-4.96299,-3.39378,1.35349,0.875409
-4.71753,-0.498629,1.45475,0.243983
1.18443,0.657996,2.87986,-3.02975
2.7564,-2.02403,2.71472,-3.91887
1.12038,1.66196,2.41218,-1.39649
1.11279,1.30891,0.691984,0.492604
1.79531,1.33996,-2.45291,2.72472
0.0530495,5.92334,-2.80029,2.61475
-3.43798,4.3429,-2.57776,0.519124
-3.09821,5.26348,-2.46353,-0.530563
-1.00723,1.18892,-0.368362,-1.80221
1.96641,-0.965292,-0.433892,0.0388883
1.06719,1.91563,-0.645795,3.19587
-1.32529,-0.235334,2.6354,4.22192
1.64184,-2.30359,1.37046,4.59032
0.80477,-2.74016,1.52732,-1.57362
-2.45735,-6.99192,0.623142,-6.90435
-2.90865,-1.14453,-5.21759,-2.44228
-2.48951,-1.7164,-3.41682,2.7214
-0.476412,-1.42911,2.86234,5.38432
8.92485,-0.844355,2.77667,8.22206
4.06187,-3.77164,0.55706,-0.854419
-4.89515,-2.02403,-3.69729,-9.00185
-10.7955,2.08415,-5.10074,-4.84
-7.51342,-0.377827,3.74844,3.28062
8.78211,-6.72266,5.50037,4.27698
12.6223,0.476321,1.73122,-2.9254
-5.26232,-4.50933,2.41839,-8.04267
-4.15238,-5.25488,0.967898,-5.49967
9.53342,0.846587,1.46579,-0.608103
9.6915,-1.2938,5.67558,0.302211
5.23273,3.28701,2.29367,1.50179
-1.60467,3.63762,-6.27283,-0.674114
-4.74765,0.118121,-8.60197,-2.23041
-6.27009,2.85614,-8.35255,-1.42099
-9.18824,5.1763,0.187469,-2.37454
7.06902,-2.6363,2.12288,-0.441491
10.8271,7.15129,2.41384,5.23183
-5.67808,-0.106668,4.19749,5.17706
-0.589578,-5.60914,5.57459,-3.74506
4.29824,-7.07475,4.41492,-10.8049
5.69272,-8.1903,0.691843,-7.89408
-0.391742,-3.27488,-3.1834,-0.626408
0.725256,-3.36097,-3.76958,1.74378
4.44492,1.75971,1.22408,0.925134
8.66216,-6.95043,-0.414857,-1.62378
2.52898,-1.14019,-7.25564,-2.99054
-9.40168,-0.922854,-6.58834,-4.87272
-4.83504,-1.9862,-1.77361,-4.97851
6.43983,1.03355,-2.49471,1.14104
9.88784,4.85241,0.325839,5.00512
-1.97456,4.24854,3.68222,1.85519
0.704224,0.0794823,0.802484,-2.22306
3.30702,-1.6665,1.15207,-7.29018
-1.90441,-3.71524,5.03504,-11.9274
5.70982,1.52109,-0.827628,-5.04135
8.99744,1.87048,-0.869292,2.83382
0.568534,-0.634477,3.95993,3.06371
6.36439,-2.40121,0.863875,-2.23286
6.42599,-2.76591,-5.51503,-4.9125
-6.58625,-2.17913,-7.23274,-5.33796
-8.5467,-1.40497,-3.75289,-2.65184
3.92278,2.48032,-0.569923,1.17203
15.2853,0.670743,-2.18555,5.95824
-2.12341,0.882111,-2.18927,6.14186
